# Español Traducciones MVS

#Código					Texto
#--------------------------------------------



# ETHERCAT

EV_REJBIN_DOOR_OPENING			Abriendo puerta del cajón de rechazo
FAULTY_REJBIN_DOOR_OPEN			Puerta del cajón de rechazo abierta
EV_REJBIN_DOOR_OPEN				Puerta del cajón de rechazo abierta
FAULTY_REJBIN_FULL				Cajón de rechazo lleno
EV_REJBIN_FULL					Cajón de rechazo lleno
FAULTY_REJBIN_NOAIR 			Cajón de rechazo sin aire
EV_REJBIN_NOAIR 				Cajón de rechazo sin aire


#----------------------------BIT STATE----------------------------
FAULTY_EMERGENCIA			Fallo Eléctrico/Emergencia
EV_EMERGENCIA				Fallo Eléctrico/Emergencia
FAULTY_FALLO_ETHERCAT		Fallo Ethercat
EV_FALLO_ETHERCAT			Fallo Ethercat
FAULTY_PERMISO_EXTERNO		Falta Permiso Externo
EV_PERMISO_EXTERNO			Falta Permiso Externo
FAULTY_LC2_02				LC-02 Error 02
EV_LC2_02					Error LC-02 02 tension excesiva condensador1
FAULTY_LC2_03				LC-02 Error 03
EV_LC2_03					Error LC-02 03 tension excesiva condensador2
FAULTY_LC2_04				LC-02 Error 04
EV_LC2_04					Error LC-02 04 corriente excesiva salida1 
FAULTY_LC2_05				LC-02 Error 05
EV_LC2_05					Error LC-02 05 corriente excesiva salida2
FAULTY_LC2_06				LC-02 Error 06
EV_LC2_06					Error LC-02 06 tension fuente demasiado baja
FAULTY_LC2_07				LC-02 Error 07
EV_LC2_07					Error LC-02 07 tension baja condensador1
FAULTY_LC2_08				LC-02 Error 08
EV_LC2_08					Error LC-02 08 tension baja condensador2
FAULTY_LC2_09				LC-02 Error 09
EV_LC2_09					Error LC-02 09 no hay tension en salida1
FAULTY_LC2_10				LC-02 Error 10
EV_LC2_10					Error LC-02 10 no hay tension en salida2 
FAULTY_LC2_11				LC-02 Error 11
EV_LC2_11					Error LC-02 11 corriente baja salida1
FAULTY_LC2_12				LC-02 Error 12
EV_LC2_12					Error LC-02 12 corriente baja salida2
FAULTY_AIRE					Presión de aire baja
EV_AIRE						Presión de aire baja
FAULTY_VAR1					Parada Variador 1
EV_VAR1						Variador 1: Falta confirmacion de PC
FAULTY_VAR2					Parada Variador 2
EV_VAR2						Variador 2: Falta confirmacion de PC
FAULTY_VAR3					Parada Variador 3
EV_VAR3 					Variador 3: Falta confirmacion de PC


#-----------------TConditionsLineComm----------------------------
ConditionsGb			Condiciones
Enabled					Habilitado
LoadLb					Carga
SignLoadLb				Signo Carga
EjectionLb				Expulsión
SignEjectionLb			Signo Expulsión
NumObjectsLb			Número Objetos
SignNumObjectsLb		Signo Num. Objetos
StateLb					Estado
InfoCb					Información
CurrentStateLb			Estado actual
CurrentLoadLb			Carga actual
CurrentEjectionLb		Expulsión actual
CurrentCounterUnitsLb	Contador objs. actual
AutoAdjustCb			Ajustes automáticos
EnabledAutoMode			Hablitar modo automático
ModeAutoLb				Modo
DesiredLoadLb			Carga deseada
DesiredObjectsLb		Objetos deseados

#-----------------TOmronFormWizard--------------------------------
TxtOmron1				Compruebe que los variadores tengan la tarjeta de comunicaciones de EtherCAT conectada y esten conectados a la red de TwinCAT.
TxtOmron2				Aparecerá un error en el variador: E60.1.
TxtOmron3				Algún variador no esta conectado, conecte y reinicie el asistente.
TxtOmron4				Seleccione el variador a configurar.
TxtOmron5				La configuración del variador se hará en 2 pasos: el 1º para inicializar y el 2º para parametrizar.
TxtOmron6				Al terminar el primer paso deberá apagar de la red eléctrica el variador y volver a encender.
TxtOmron7				Desconecte el variador de la red eléctrica para quitar el error obtenido, espere a que la luz de RUN se encienda y ejecute el Paso 2.
TxtOmron8				El variador ha sido configurado.
TxtOmron9				Puede seguir configurando otros variadores o cerrar la ventana.
BtnNextOmronForm			Siguiente
BtnCancelOmronForm			Salir
BtnConfig1OmronForm			Config 1
BtnConfig2OmronForm			Config 2
BtnConfig3OmronForm			Config 3
BtnConfig4OmronForm			Config 4
BtnStep1OmronForm			Paso 1
BtnStep2OmronForm			Paso 2
