# English  Translations for MVS.

#Code					Text
#--------------------------------------------



# ETHERCAT

EV_INV_NO_REMOTE1			Inverter 1 Not remote operation
FAULTY_INV_NO_UP_DATA1 		Inverter 1 Cannot update data
EV_INV_NO_UP_DATA1 			Inverter 1 Cannot update data

FAULTY_INV_ERR2				Inverter 2 Error
EV_INV_ERR2					Inverter 2 Error
FAULTY_INV_WARN2			Inverter 2 Warning
EV_INV_WARN2				Inverter 2 Warning
FAULTY_INV_NO_REMOTE2		Inverter 2 Not remote operation
EV_INV_NO_REMOTE2			Inverter 2 Not remote operation
FAULTY_INV_NO_UP_DATA2 		Inverter 2 Cannot update data
EV_INV_NO_UP_DATA2 			Inverter 2 Cannot update data

FAULTY_INV_ERR3				Inverter 3 Error
EV_INV_ERR3					Inverter 3 Error
FAULTY_INV_WARN3			Inverter 3 Warning
EV_INV_WARN3				Inverter 3 Warning
FAULTY_INV_NO_REMOTE3		Inverter 3 Not remote operation
EV_INV_NO_REMOTE3			Inverter 3 Not remote operation
FAULTY_INV_NO_UP_DATA3 		Inverter 3 Cannot update data
EV_INV_NO_UP_DATA3 			Inverter 3 Cannot update data

FAULTY_INV_ERR4				Inverter 4 Error
EV_INV_ERR4					Inverter 4 Error
FAULTY_INV_WARN4			Inverter 4 Warning
EV_INV_WARN4				Inverter 4 Warning
FAULTY_INV_NO_REMOTE4		Inverter 4 Not remote operation
EV_INV_NO_REMOTE4			Inverter 4 Not remote operation
FAULTY_INV_NO_UP_DATA4 		Inverter 4 Cannot update data
EV_INV_NO_UP_DATA4 			Inverter 4 Cannot update data

#-----------------XCab Faulties/EVENTS----------------------------
FAULTY_EC_PLC					Electric Cabinet PLC Fault
EV_EC_PLC						Electric Cabinet PLC Fault
FAULTY_BLOCKAGE					Blockage
EV_BLOCKAGE						Blockage
FAULTY_REJBIN_DOOR_OPENING		Opening rejection bin door
EV_REJBIN_DOOR_OPENING			Opening rejection bin door
FAULTY_REJBIN_DOOR_OPEN			Rejection bin door open
EV_REJBIN_DOOR_OPEN				Rejection bin door open
FAULTY_REJBIN_FULL				Rejection bin full
EV_REJBIN_FULL					Rejection bin full
FAULTY_REJBIN_NOAIR 			Rejection bin no air
EV_REJBIN_NOAIR 				Rejection bin no air


#----------------------------BIT STATE----------------------------
FAULTY_EMERGENCIA			Electric. fail./Emergency stop
EV_EMERGENCIA				Electric. fail./Emergency stop
FAULTY_FALLO_ETHERCAT		Ethercat failure
EV_FALLO_ETHERCAT			Ethercat failure
FAULTY_PERMISO_EXTERNO		External permission fail
EV_PERMISO_EXTERNO			External permission fail
FAULTY_LC2_02				LC-02 Error 02
EV_LC2_02					Error LC-02 02 Voltage too high Capacitor 1
FAULTY_LC2_03				LC-02 Error 03
EV_LC2_03					Error LC-02 03 Voltage too high Capacitor 2
FAULTY_LC2_04				LC-02 Error 04
EV_LC2_04					Error LC-02 04 Current too high output 1 
FAULTY_LC2_05				LC-02 Error 05
EV_LC2_05					Error LC-02 05 current too high output 2
FAULTY_LC2_06				LC-02 Error 06
EV_LC2_06					Error LC-02 06 Input voltage too low. Check fuse
FAULTY_LC2_07				LC-02 Error 07
EV_LC2_07					Error LC-02 07 Voltage too low capacitor 1
FAULTY_LC2_08				LC-02 Error 08
EV_LC2_08					Error LC-02 08 Voltage too low capacitor 2
FAULTY_LC2_09				LC-02 Error 09
EV_LC2_09					Error LC-02 09 No voltage output 1
FAULTY_LC2_10				LC-02 Error 10
EV_LC2_10					Error LC-02 10 No voltage output 2 
FAULTY_LC2_11				LC-02 Error 11
EV_LC2_11					Error LC-02 11 current too low ouput 1
FAULTY_LC2_12				LC-02 Error 12
EV_LC2_12					Error LC-02 12 current too low output 2
FAULTY_AIRE					Air pressure too low
EV_AIRE						Air pressure too low
FAULTY_VAR1					Inverter 1 Stop 
EV_VAR1						Inverter 1: PC confirmation is missing
FAULTY_VAR2					Inverter 2 Stop 
EV_VAR2						Inverter 2: PC confirmation is missing
FAULTY_VAR3					Inverter 3 Stop 
EV_VAR3 					Inverter 3: PC confirmation is missing


#-----------------TConditionsLineComm----------------------------
ConditionsGb			Conditions
Enabled					Enabled
LoadLb					Load
SignLoadLb				Sign Load
EjectionLb				Ejection
SignEjectionLb			Sign 
NumObjectsLb			Num. Objects
SignNumObjectsLb		Sign Num. Objects
StateLb					State
InfoCb					Information
CurrentStateLb			Current state
CurrentLoadLb			Current load
CurrentEjectionLb		Current ejection
CurrentCounterUnitsLb	Current counter units
AutoAdjustCb			Auto Adjustements
EnabledAutoMode			Enabled auto mode
ModeAutoLb				Mode
DesiredLoadLb			Desired load
DesiredObjectsLb		Desired objects

#-----------------TOmronFormWizard--------------------------------
TxtOmron1				Check that the drives have the EtherCAT communications card connected and are connected to the TwinCAT network.
TxtOmron2				An error will appear on the drive: E60.1.
TxtOmron3				Some drive is not connected, connect and restart the assistant.
TxtOmron4				Select the drive to be configured.
TxtOmron5				The configuration of the inverter will be done in 2 steps: the 1st to initialize and the 2nd to parameterize.
TxtOmron6				At the end of the first step, the inverter must be switched off and on again.
TxtOmron7				Disconnect the inverter from the electrical network to clear the error obtained, wait until the RUN light comes on and execute Step 2.
TxtOmron8				The inverter has been configured.
TxtOmron9				You can continue configuring other drives or close the window.
BtnNextOmronForm 			Next
BtnCancelOmronForm 			Exit
BtnConfig1OmronForm 			Config 1
BtnConfig2OmronForm 			Config 2
BtnConfig3OmronForm 			Config 3
BtnConfig4OmronForm 			Config 4
BtnStep1OmronForm 			Step 1
BtnStep2OmronForm 			Step 2
